x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003
335,0.00238224,335,1,335,24.19,335,48.69,
336,0.00238189,336,1,336,24.18,336,48.87,
337,0.00238487,337,1,337,24.19,337,48.71,
338,0.00238481,338,1,338,24.19,338,48.34,
339,0.00238538,339,1,339,24.2,339,48.4,
340,0.00238588,340,1,340,24.21,340,48.26,
341,0.00238463,341,1,341,24.21,341,48.01,
342,0.00238306,342,1,342,24.21,342,48.14,
343,0.00238637,343,1,343,24.22,343,48.26,
344,0.00238504,344,1,344,24.22,344,48.07,
345,0.00238704,345,1,345,24.22,345,48.12,
346,0.00238523,346,1,346,24.22,346,48.27,
347,0.00238014,347,1,347,24.23,347,48.39,
348,0.002387,348,1,348,24.23,348,48.46,
349,0.00238438,349,1,349,24.22,349,48.13,
350,0.00238595,350,1,350,24.22,350,48.29,
351,0.00238327,351,1,351,24.22,351,48.85,
352,0.00238425,352,1,352,24.22,352,48.93,
353,0.00238119,353,1,353,24.22,353,48.59,
354,0.0023855,354,1,354,24.23,354,48.4,
355,0.00238435,355,1,355,24.23,355,48.12,
356,0.00238537,356,1,356,24.23,356,48.13,
357,0.00238342,357,1,357,24.24,357,47.99,
358,0.00238419,358,1,358,24.26,358,47.9,
359,0.00238504,359,1,359,24.27,359,48.06,
360,0.002385,360,1,360,24.27,360,48.58,
361,0.00238428,361,1,361,24.29,361,49.08,
362,0.00238185,362,1,362,24.29,362,49.46,
363,0.00238436,363,1,363,24.29,363,49.63,
364,0.00238453,364,1,364,24.28,364,49.54,
365,0.00238044,365,1,365,24.27,365,49.49,
366,0.00238202,366,1,366,24.28,366,49.4,
367,0.00237967,367,1,367,24.28,367,49.26,
368,0.00237959,368,1,368,24.27,368,48.61,
369,0.0023782,369,1,369,24.26,369,48.06,
370,0.00238023,370,1,370,24.25,370,48.07,
371,0.00238403,371,1,371,24.25,371,47.93,
372,0.0023798,372,1,372,24.25,372,47.66,
373,0.00238211,373,1,373,24.25,373,47.76,
374,0.00238234,374,1,374,24.25,374,47.82,
375,0.00238107,375,1,375,24.24,375,47.64,
376,0.00238311,376,1,376,24.24,376,47.44,
377,0.00238347,377,1,377,24.24,377,47.3,
378,0.00238062,378,1,378,24.24,378,47.37,
379,0.00237931,379,1,379,24.27,379,47.88,
380,0.0023812,380,1,380,24.29,380,48.22,
381,0.00237774,381,1,381,24.29,381,48.14,
382,0.00238163,382,1,382,24.29,382,48.01,
383,0.00237897,383,1,383,24.31,383,48.24,
384,0.00237821,384,1,384,24.31,384,48.79,
385,0.00238308,385,1,385,24.32,385,48.83,
386,0.00237854,386,1,386,24.32,386,48.79,
387,0.00238277,387,1,387,24.33,387,48.72,
388,0.00238326,388,1,388,24.33,388,48.47,
389,0.00238435,389,1,389,24.34,389,48.49,
390,0.00238164,390,1,390,24.34,390,48.49,
391,0.00238125,391,1,391,24.35,391,48.51,
392,0.00238343,392,1,392,24.35,392,48.44,
393,0.00238136,393,1,393,24.36,393,48.32,
394,0.00238331,394,1,394,24.37,394,48.75,
395,0.00238115,395,1,395,24.39,395,48.92,
396,0.00238038,396,1,396,24.39,396,48.97,
397,0.00237985,397,1,397,24.38,397,49.02,
398,0.00237984,398,1,398,24.4,398,48.94,
399,0.00237557,399,1,399,24.41,399,48.67,
400,0.00237888,400,1,400,24.42,400,48.28,
401,0.00238105,401,1,401,24.43,401,48.19,
402,0.00238357,402,1,402,24.43,402,48.37,
403,0.00238151,403,1,403,24.43,403,48.25,
404,0.00238239,404,1,404,24.41,404,47.69,
405,0.00238315,405,1,405,24.41,405,47.86,
406,0.00238363,406,1,406,24.41,406,48.1,
407,0.00238087,407,1,407,24.41,407,47.95,
408,0.00238171,408,1,408,24.43,408,48.04,
409,0.00237834,409,1,409,24.44,409,48.13,
410,0.00238368,410,1,410,24.45,410,48.1,
411,0.00238529,411,1,411,24.45,411,48.19,
412,0.00237903,412,1,412,24.44,412,48.27,
413,0.00237954,413,1,413,24.44,413,48.43,
414,0.00238217,414,1,414,24.45,414,48.51,
415,0.00238073,415,1,415,24.44,415,48.42,
416,0.00238338,416,1,416,24.44,416,48.22,
417,0.00238381,417,1,417,24.43,417,48.1,
418,0.00238156,418,1,418,24.42,418,47.98,
419,0.00238585,419,1,419,24.43,419,47.88,
420,0.00238557,420,1,420,24.43,420,47.68,
421,0.00238195,421,1,421,24.43,421,47.59,
422,0.00238316,422,1,422,24.43,422,47.49,
423,0.00238238,423,1,423,24.44,423,47.19,
424,0.0023828,424,1,424,24.44,424,46.79,
425,0.00238607,425,1,425,24.42,425,46.63,
426,0.00238627,426,1,426,24.41,426,46.6,
427,0.00238376,427,1,427,24.41,427,46.56,
428,0.002384,428,1,428,24.4,428,46.6,
429,0.00238193,429,1,429,24.39,429,46.46,
430,0.00238463,430,1,430,24.38,430,46.21,
431,0.00238097,431,1,431,24.36,431,45.82,
432,0.00238793,432,1,432,24.36,432,45.54,
433,0.00238813,433,1,433,24.35,433,45.28,
434,0.00238719,434,1,434,24.35,434,45.16,
435,0.00238471,435,1,435,24.35,435,45.07,
436,0.00238964,436,1,436,24.35,436,45,
437,0.00238508,437,1,437,24.35,437,44.92,
438,0.0023883,438,1,438,24.35,438,44.97,
439,0.00238749,439,1,439,24.35,439,44.99,
440,0.00238347,440,1,440,24.36,440,44.86,
441,0.00238556,441,1,441,24.35,441,44.57,
442,0.00238485,442,1,442,24.36,442,44.48,
443,0.00238756,443,1,443,24.35,443,44.43,
