  TOF,Distancia,Temp,Humed
0.00239505,1,21.94,45.80
0.00239518,1,21.96,45.79
0.00239526,1,21.96,45.74
0.00239561,1,21.97,45.68
0.00239186,1,21.97,45.59
0.00239311,1,21.96,45.53
0.00239426,1,21.96,45.53
0.00239457,1,21.97,45.53
0.00239599,1,21.98,45.54
0.00239636,1,21.99,45.52
0.00239608,1,21.99,45.51
0.00239508,1,21.99,45.49
0.00239482,1,22.00,45.48
0.00239193,1,22.00,45.47
0.00239382,1,22.00,45.46
0.00239278,1,22.00,45.44
0.00239322,1,22.00,45.42
0.00239612,1,22.00,45.40
0.00239598,1,22.00,45.40
0.00239539,1,22.00,45.41
0.00239604,1,22.00,45.41
0.00239657,1,22.00,45.41
0.00239641,1,22.01,45.42
0.00239581,1,22.02,45.41
0.00239653,1,22.04,45.40
0.00239577,1,22.04,45.38
0.00239537,1,22.04,45.36
0.00239563,1,22.05,45.36
0.00239629,1,22.05,45.34
0.00239534,1,22.05,45.32
0.00239507,1,22.05,45.31
0.00239471,1,22.04,45.31
0.00239604,1,22.05,45.29
0.00239474,1,22.05,45.29
0.00239503,1,22.05,45.28
0.00239348,1,22.06,45.27
0.00239401,1,22.06,45.27
0.00239475,1,22.06,45.28
0.00239408,1,22.06,45.26
0.00239361,1,22.07,45.25
0.00239394,1,22.07,45.24
0.00239492,1,22.06,45.25
0.00239463,1,22.06,45.24
0.00239508,1,22.06,45.23
0.00239437,1,22.06,45.24
0.00239433,1,22.06,45.23
0.00239270,1,22.05,45.24
0.00239345,1,22.06,45.24
0.00239401,1,22.05,45.24
0.00239498,1,22.06,45.24
0.00239531,1,22.05,45.23
0.00239249,1,22.06,45.24
0.00239640,1,22.06,45.23
0.00239333,1,22.06,45.24
0.00238913,1,22.06,45.24
0.00239235,1,22.06,45.23
0.00239151,1,22.06,45.24
0.00239011,1,22.06,45.23
0.00239038,1,22.06,45.24
0.00239201,1,22.06,45.25
0.00239015,1,22.06,45.25
0.00239019,1,22.06,45.26
0.00239169,1,22.06,45.25
0.00239272,1,22.07,45.26
0.00238937,1,22.06,45.24
0.00238793,1,22.07,45.25
0.00238803,1,22.07,45.26
0.00238744,1,22.08,45.24
0.00238964,1,22.08,45.23
0.00238911,1,22.08,45.22
0.00238719,1,22.07,45.21
0.00238865,1,22.07,45.22
0.00238753,1,22.07,45.22
0.00238784,1,22.07,45.22
0.00238952,1,22.07,45.23
0.00238797,1,22.06,45.23
0.00238709,1,22.06,45.23
0.00239047,1,22.06,45.24
0.00238962,1,22.06,45.24
0.00239072,1,22.06,45.25
0.00239017,1,22.06,45.25
0.00238952,1,22.07,45.24
0.00238746,1,22.07,45.23
0.00238837,1,22.07,45.23
0.00238922,1,22.07,45.22
0.00238790,1,22.07,45.21
0.00238900,1,22.07,45.22
0.00239047,1,22.09,45.23
0.00238779,1,22.10,45.23
0.00239091,1,22.11,45.22
0.00239011,1,22.13,45.20
0.00238829,1,22.14,45.17
0.00239431,1,22.14,45.14
0.00239126,1,22.14,45.13
0.00239020,1,22.14,45.12
0.00239298,1,22.14,45.12
0.00239384,1,22.14,45.12
0.00239327,1,22.13,45.13
0.00239443,1,22.12,45.15
0.00239398,1,22.12,45.17
0.00239369,1,22.12,45.18
0.00239494,1,22.12,45.20
0.00239222,1,22.11,45.20
0.00239079,1,22.11,45.21
0.00238920,1,22.11,45.21
0.00239245,1,22.11,45.21
0.00239331,1,22.11,45.21
0.00239157,1,22.12,45.20
0.00239078,1,22.12,45.20
0.00239285,1,22.12,45.18
0.00239176,1,22.11,45.17
0.00239285,1,22.11,45.17
0.00239158,1,22.11,45.17
0.00239336,1,22.11,45.18
0.00239282,1,22.11,45.18
0.00239395,1,22.11,45.19
0.00239354,1,22.11,45.19
0.00239320,1,22.11,45.19
0.00239271,1,22.10,45.19
0.00239352,1,22.11,45.19
0.00239376,1,22.11,45.19
0.00239408,1,22.11,45.20
0.00239338,1,22.11,45.18
0.00239417,1,22.10,45.19
0.00239509,1,22.10,45.19
0.00239418,1,22.10,45.19
0.00239381,1,22.10,45.19
0.00239395,1,22.10,45.19
0.00239451,1,22.10,45.20
0.00239431,1,22.10,45.21
0.00239424,1,22.09,45.21
0.00239244,1,22.10,45.21
0.00239386,1,22.10,45.20
0.00239407,1,22.09,45.21
0.00238922,1,22.11,45.23
0.00239071,1,22.12,45.24
0.00239303,1,22.12,45.32
0.00239259,1,22.12,45.42
0.00239173,1,22.12,45.44
0.00238992,1,22.13,45.45
0.00238786,1,22.13,45.41
0.00238888,1,22.14,45.38
0.00238866,1,22.14,45.33
0.00238861,1,22.15,45.30
0.00238920,1,22.15,45.27
0.00238894,1,22.15,45.25
0.00239000,1,22.16,45.26
0.00239114,1,22.15,45.24
0.00238733,1,22.15,45.24
0.00238943,1,22.16,45.25
0.00239130,1,22.16,45.27
0.00239220,1,22.16,45.29
0.00239185,1,22.16,45.31
0.00238940,1,22.17,45.32
0.00238795,1,22.18,45.32
0.00238950,1,22.19,45.30
0.00239149,1,22.20,45.30
0.00238684,1,22.20,45.28
0.00238498,1,22.21,45.29
0.00238523,1,22.22,45.28
0.00238724,1,22.23,45.27
0.00238709,1,22.23,45.26
0.00238945,1,22.23,45.29
0.00238524,1,22.23,45.28
0.00238533,1,22.23,45.27
0.00238735,1,22.23,45.25
0.00238642,1,22.23,45.23
0.00238698,1,22.24,45.22
0.00238520,1,22.24,45.20
0.00238679,1,22.24,45.18
0.00238794,1,22.25,45.19
0.00238552,1,22.25,45.17
0.00238687,1,22.25,45.17
0.00238720,1,22.25,45.16
0.00238761,1,22.25,45.15
0.00238544,1,22.25,45.15
0.00238720,1,22.25,45.14
0.00238834,1,22.25,45.12
0.00238726,1,22.24,45.10
0.00238847,1,22.24,45.09
0.00238789,1,22.24,45.07
0.00238718,1,22.23,45.06
0.00238774,1,22.24,45.05
0.00238665,1,22.24,45.04
0.00238609,1,22.24,45.02
0.00238749,1,22.24,45.01
0.00238605,1,22.24,45.02
0.00238819,1,22.24,45.01
0.00239103,1,22.24,45.00
0.00239188,1,22.24,45.01
0.00239203,1,22.23,45.01
0.00239340,1,22.23,45.01
0.00239348,1,22.23,45.00
0.00238810,1,22.22,45.02
0.00238921,1,22.23,45.03
0.00238970,1,22.24,45.06
0.00238771,1,22.25,45.06
0.00238872,1,22.25,45.08
0.00238520,1,22.25,45.08
0.00238751,1,22.25,45.07
0.00238808,1,22.25,45.07
0.00238630,1,22.26,45.07
0.00238901,1,22.26,45.06
0.00238554,1,22.27,45.07
0.00238545,1,22.27,45.06
0.00238537,1,22.27,45.06
0.00238418,1,22.27,45.06
0.00238453,1,22.27,45.06
0.00238622,1,22.27,45.08
0.00238595,1,22.26,45.16
0.00238390,1,22.26,45.19
0.00238453,1,22.26,45.21
0.00238748,1,22.26,45.20
0.00239046,1,22.26,45.21
0.00238373,1,22.27,45.19
0.00238422,1,22.27,45.18
0.00238319,1,22.27,45.18
0.00238425,1,22.27,45.16
0.00238810,1,22.27,45.17
0.00238866,1,22.27,45.14
0.00238876,1,22.28,45.14
0.00238699,1,22.28,45.13
0.00238934,1,22.28,45.12
0.00238973,1,22.29,45.12
0.00239067,1,22.28,45.12
0.00238719,1,22.29,45.11
0.00238676,1,22.29,45.11
0.00239053,1,22.29,45.13
